,Chords,Notes,Degrees
43,Cminb79,"['do', 'res', 'sol', 'la', 're']","[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
44,Cminb7b9,"['do', 'res', 'sol', 'la', 'dos']","[1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
45,Cmin7b9,"['do', 'res', 'sol', 'las', 'dos']","[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]"
46,Cmin7sus2,"['do', 'res', 'sol', 'do', 're', 'sol', 'las']","[1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]"
47,Cminmaj7sus2,"['do', 'res', 'sol', 'do', 're', 'sol', 'si']","[1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
48,Cmin7sus4,"['do', 'res', 'sol', 'do', 'mis', 'sol', 'las']","[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]"
49,Cminmaj7sus4,"['do', 'res', 'sol', 'do', 'mis', 'sol', 'si']","[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1]"
50,Cminadd9,"['do', 'res', 'sol', 're']","[1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
51,Cminadd11,"['do', 'res', 'sol', 'mis']","[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
52,Cminadd13,"['do', 'res', 'sol', 'la']","[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
53,Cmin11s,"['do', 'res', 'sol', 'las', 're', 'fas']","[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0]"
54,Cmin11b9,"['do', 'res', 'sol', 'las', 'dos', 'mis']","[1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]"
55,Cminmajs911s,"['do', 'res', 'sol', 'si', 'res', 'fas']","[1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1]"
56,Cminb711b9,"['do', 'res', 'sol', 'la', 'dos', 'mis']","[1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
57,Cminmaj11,"['do', 'res', 'sol', 'si', 're', 'mis']","[1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1]"
58,Cminmaj911s,"['do', 'res', 'sol', 'si', 're', 'fas']","[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1]"
59,Cmin11,"['do', 'res', 'sol', 'las', 're', 'mis']","[1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]"
60,Cminb11b9,"['do', 'res', 'sol', 'las', 'dos', 'mi']","[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]"
61,Cmin13b11b9b,"['do', 'res', 'sol', 'las', 'dos', 'mi', 'sols']","[1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]"
62,Cmin13b9,"['do', 'res', 'sol', 'las', 'dos', 'mis', 'la']","[1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]"
63,Cmin1311s,"['do', 'res', 'sol', 'las', 're', 'fas', 'la']","[1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0]"
64,Cmin13b,"['do', 'res', 'sol', 'las', 're', 'mis', 'sols']","[1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]"
65,Cminmaj13b,"['do', 'res', 'sol', 'si', 're', 'mis', 'sols']","[1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]"
66,Cmin13bb9,"['do', 'res', 'sol', 'las', 'dos', 'mis', 'sols']","[1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]"
67,Cminmaj13s911s,"['do', 'res', 'sol', 'si', 'res', 'fas', 'la']","[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]"
